station	id	state	city	owner	website	station_info	subchannels	source	collection_date
WVNY	" ""ABC 22"""	VT	 Burlington		http://www.abc22.com/	 Digital Full-Power - 10 kW		stationindex	2023-05-17 12:50:01.701573
WETK	" ""VPT"""	VT	 Burlington	 Vermont ETV	http://www.vpt.org/	 Digital Educational Full-Power - 90 kW		stationindex	2023-05-17 12:50:01.701573
WFFF	" ""FOX 44"""	VT	 Burlington	 Smith Broadcasting	http://www.fox44.net/	 Digital Full-Power - 47 kW		stationindex	2023-05-17 12:50:01.701573
WCFE	" ""Mountain Lake PBS"""	NY	 Plattsburgh	 Mountain Lake Public Telecommunications Council	http://www.mountainlake.org	 Digital Educational Full-Power - 100 kW		stationindex	2023-05-17 12:50:01.701573
KBTX		TX	 Bryan	 Gray Television	http://www.kbtx.com/	 Digital Full-Power - 1000 kW	 3.1 KBTX/CBS, 3.2 CW	stationindex	2023-05-17 12:50:01.701573
KCEN	" ""NBC 6"""	TX	 Temple	 Tegna Media	http://www.kcentv.com/	 Digital Full-Power - 100 kW	 6.1 KCEN/NBC	stationindex	2023-05-17 12:50:01.701573
KWTX		TX	 Waco	 Gray Televisoin	http://www.kwtx.com/	 Digital Full-Power - 209 kW		stationindex	2023-05-17 12:50:01.701573
KAMU		TX	 College Station	 Texas A&M University	http://kamu-tv.tamu.edu/	 Digital Educational Full-Power - 22.9 kW		stationindex	2023-05-17 12:50:01.701573
KXXV	" ""25 ABC"""	TX	 Waco	 E. W. Scripps Company	https://www.kxxv.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
KYLE	" ""Y 28"""	TX	 Bryan	 Nexstar Media Group	http://www.mycentx.com/	 Digital Full-Power - 50 kW	 28.1 MyNetworkTV, 28.2 Fox, 28.3 Estrella TV, 28.4 Laff	stationindex	2023-05-17 12:50:01.701573
